gene,tier,n_unique_variants,n_patient_instances,median_score,q1,q3,min_score,max_score,context_window_applied
ALDOB,A,8,8,-2.569888114929199,-5.351719617843628,-1.7595213055610657,-7.196568489074707,1.0236248970031738,False
FBXL16,A,3,3,-2.1844849586486816,-3.6596519947052,-1.8254197835922241,-3.6596519947052,-1.8254197835922241,False
IL1RN,A,4,5,-3.3064074516296387,-6.486739754676819,-0.012524127960205078,-9.485065460205078,3.0993525981903076,False
METTL27,A,4,4,0.4098927974700928,-2.7463395595550537,1.675157070159912,-4.793725967407227,1.8315753936767578,False
MSLN,A,9,9,-3.841850996017456,-5.974702835083008,-1.3875536918640137,-7.9381537437438965,2.54689884185791,False
RAC3,A,3,3,-0.8669545650482178,-4.216642379760742,2.0102200508117676,-4.216642379760742,2.0102200508117676,False
SLC38A11,A,6,6,-0.8254008293151855,-3.035905599594116,-0.20377683639526367,-3.117129325866699,2.4484944343566895,False
WNT11,A,6,6,-7.280118465423584,-9.706104278564453,-5.494076728820801,-12.888799667358398,-4.255640029907227,False
TP53,B,78,163,-5.948373794555664,-7.638666152954102,-3.897336006164551,-12.427838325500488,-1.5496755838394165,False
KRAS,B,21,169,-7.287199974060059,-8.840006351470947,-6.679301977157593,-11.194032669067383,-5.630672454833984,False
PIK3CA,B,51,149,-1.455284595489502,-3.3713510036468506,0.0382533073425293,-7.670129776000977,4.337991714477539,True
FBXW7,B,26,50,-7.6679205894470215,-9.534286499023438,-2.557114601135254,-14.68543529510498,1.5448224544525146,False
BRAF,B,8,55,-9.519432067871094,-11.110581398010254,-7.291734218597412,-12.654165267944336,-6.859137058258057,False
SMAD4,B,32,43,-0.24679088592529297,-1.1850258708000183,0.1194603443145752,-2.4134302139282227,0.4755887985229492,False
