gene,tier,n,spearman_rho,p_value,note
ALDOB,A,8,0.166013069377609,0.6943974284492819,
BRAF,B,8,0.8961272244559315,0.0025881096608650444,
FBXL16,A,3,,,n<5: correlation not reported as meaningful
FBXW7,B,26,0.32520067510509937,0.10500377589622409,
IL1RN,A,4,,,n<5: correlation not reported as meaningful
KRAS,B,21,0.600369531441145,0.00400743751401255,
METTL27,A,4,,,n<5: correlation not reported as meaningful
MSLN,A,9,0.5152540399295447,0.15571745276314652,
PIK3CA,B,51,0.34936960028750064,0.011974923489206615,
RAC3,A,3,,,n<5: correlation not reported as meaningful
SLC38A11,A,6,-0.1471224715841249,0.7809085271647663,
SMAD4,B,32,0.20492492924920527,0.2605463222649364,
TP53,B,78,0.28409393943123135,0.011711808893346333,
WNT11,A,6,0.44136741475237473,0.3809392104771887,
